LA_code,LA_name,Total_death_sd,Adults_sd,Children_sd,Ederly_sd,Pre_ederly_sd,Youth_sd,four_plus_bedrooms_sd,one_bedroom_sd,three_bedrooms_sd,two_bedrooms_sd,Female_sd,Male_sd,Bad_health_sd,Good_health_sd,Verybad_health_sd,Verygood_health_sd,Four_dimension_deprivation_sd,No_dimension_deprivation_sd,One_dimension_deprivation_sd,Three_dimension_deprivation_sd,Two_dimension_deprivation_sd,High_level_qualifications_sd,Low_level_qualifications_sd,No_qualifications_sd,Other_qualifications_sd
E06000001,Hartlepool,2.707415068,172.6789331,191.1759928,85.57597548,328.5502334,222.0188653,66.41830646,0.823054181,121.0214536,29.65160983,423.0498489,385.7849879,60.91683904,489.1107766,18.75697159,431.2045831,0.920521123,186.9415956,148.7453839,24.6699661,81.98052827,349.8196862,195.3562417,187.2015075,76.44657187
E06000002,Middlesbrough,2.536060699,176.1276785,208.3460715,73.01075568,281.3637753,261.151719,61.02526333,0.931046941,145.9450821,28.10511103,405.7975042,385.8703204,55.36950057,459.9858259,17.68294378,466.9617298,0.889358272,176.530669,141.699786,24.43650816,75.15077402,348.1212306,184.0624218,189.558378,69.91884606
E06000003,Redcar and Cleveland,2.307168335,167.0243388,177.1685551,106.7523127,347.1885506,201.8662428,56.11912313,0.761731768,122.5069764,23.55509005,429.3530407,393.4710798,57.97950649,498.4142795,18.17169727,425.4345167,0.776380456,199.1635599,154.2799804,21.7459771,75.4920128,361.1121284,195.1644681,181.1456739,85.40917447
E06000004,Stockton-on-Tees,2.22794185,189.1868521,196.2674344,82.08795792,313.9566823,218.5010733,83.68007162,0.874899539,118.7421793,19.87344476,412.8610232,390.876629,47.77358414,472.1812466,14.73086666,465.3193892,0.67143453,205.9930618,138.2900801,16.90794226,64.1779505,384.8133717,194.9652583,149.7553333,74.20368882
E06000005,Darlington,2.263429838,186.6587508,182.6977486,93.70970585,320.6556525,216.2781421,64.64689567,0.890529772,108.375618,35.53770373,421.8235452,395.4879825,46.53018061,488.9286741,12.31899519,452.2128737,0.705002737,220.545264,151.9837478,16.12229942,64.41498687,386.4342631,194.8868749,157.4382427,78.55214701
E06000006,Halton,2.132660845,193.5039462,190.9276296,74.72874733,317.3539439,223.485733,60.68743287,0.754993073,126.9322374,29.50699731,417.1609147,391.9270225,58.30570214,463.4489952,18.5245723,459.7362973,0.801693675,188.2267781,145.7992808,24.03524339,76.6123383,341.9495945,231.4871029,170.1847787,65.45089432
E06000007,Warrington,2.436319167,199.9061496,181.3304009,88.7170931,313.7874809,216.2588755,75.3457772,1.507294738,103.4914255,28.51062216,416.7954345,401.8646847,39.17544342,449.045854,11.1814726,500.59723,0.573530388,222.7620465,137.6283333,13.38553566,54.79348166,411.3540057,202.5225857,134.8649597,69.92330809
E06000008,Blackburn with Darwen,2.68846738,198.4231105,227.6795812,61.52454196,262.0415549,250.3312114,79.51659288,1.260219084,133.8158788,48.11451837,391.5985394,380.7412673,50.57679258,455.7275342,15.80120852,477.9138527,1.21498045,156.3124051,129.1369115,23.86014799,69.266811,328.8008531,190.9199599,186.9195722,65.69942159
E06000009,Blackpool,2.708528319,176.259962,175.1113191,96.78379988,329.639241,222.205678,51.34150146,1.347173771,116.8070564,28.97841686,420.9492612,403.9465101,69.32272611,504.9632718,22.03692674,403.6770754,2.141297257,175.6218271,161.3063331,29.65909413,90.65061403,323.0309992,220.8443234,202.6078448,78.41260387
E06000010,Kingston upon Hull,2.288269529,190.3008831,199.0045466,64.49849072,273.3864142,272.8096654,45.25230887,1.640363427,129.71979,47.11363449,403.6267761,397.3686773,52.42796258,498.1049683,15.87182695,433.5952422,1.127281716,178.1030208,147.4641779,24.16352701,81.59871767,314.3243425,203.3825942,202.2740381,81.02571401
E06000011,East Northamptonshire,0.563969645,168.1973718,158.0137749,122.9132393,368.4182843,182.4573297,76.86058846,0.482150215,84.03732135,20.65648404,433.4997969,408.4864282,41.16686196,497.5731773,12.57097105,448.6831455,0.48799446,227.0606077,151.170164,10.35015794,55.28655794,401.6545058,203.072904,153.3442231,83.90874796
E06000012,North East Lincolnshire,1.605443217,174.4963878,187.5820241,97.03375253,323.0189977,217.8688378,55.03102583,0.821834028,138.8899507,18.70468764,419.2882535,393.142464,50.39944956,504.4149688,14.60825911,430.5773225,0.860058866,195.5901278,153.854975,20.52673827,74.01602895,308.4871883,229.6293465,196.9025139,77.40529796
E06000013,North Lincolnshire,1.638378124,176.491042,178.0586987,100.3477133,336.8988685,208.2036775,59.80080151,0.807402169,123.8507779,18.82366808,418.7942008,403.1471004,47.16525224,510.7024988,13.1718529,428.960396,0.524516737,198.7918435,151.0902876,15.11669024,65.71782178,337.7828854,220.3913248,179.5497407,84.21735031
E06000014,York,1.661563645,179.2516554,151.552354,91.05565992,284.6993161,293.4410145,67.86772573,1.212892156,74.36113617,29.76516238,444.9391335,403.4887906,33.46793478,471.5340128,8.805794272,486.1922582,0.433880121,226.9242337,137.6090247,9.456614453,46.92807944,513.5513581,159.5199708,113.1687547,62.20756233
E06000015,Derby,2.705039715,195.677293,199.6219831,77.86076124,264.6156318,262.2243308,61.99782679,2.10817098,120.9041796,41.72724629,406.7507384,393.6272784,44.16063421,483.6473271,13.79302429,458.3990144,1.132520163,184.3597435,136.4304189,18.77458257,63.5359116,376.2071288,188.5952159,161.2349061,74.33694005
E06000016,Leicester,2.1976889,202.0598585,210.4273555,49.4778454,227.6371588,310.3977817,50.39219251,7.77602023,126.3182742,57.38681224,404.1034379,385.4827726,40.01693034,460.1065201,12.26907309,487.6129029,1.733732354,134.0237513,123.8139941,20.68540762,65.37174857,338.4983544,176.64535,210.793637,63.63801622
E06000017,Rutland,1.583511986,170.7513155,164.4416293,123.0754239,338.6766712,203.05496,84.73007211,0.292340674,71.64782693,17.39427012,409.2525823,426.2814266,28.47885402,461.2161372,6.870005847,503.4593646,0.194893783,235.6996687,128.7273436,4.823621126,37.24907425,459.1453908,200.5213409,109.4084974,66.53186513
E06000018,Nottingham,1.965207181,176.6090906,183.2586596,53.39430832,214.7606835,371.977258,37.43472484,3.296974941,122.7142107,42.88539381,419.5315638,397.2097766,45.69106696,463.9712017,14.62781572,475.7160955,1.130921114,160.3096128,132.7009239,21.67907796,69.63507709,438.4914872,163.5818682,159.2991997,55.36878534
E06000019,Herefordshire,1.566534964,167.2770628,159.8721109,122.8473511,359.9127445,190.0907307,65.63941894,1.384752749,89.18556221,27.21386678,432.3155312,407.8230511,40.85287938,490.2505921,11.63940825,457.2410806,0.796633821,218.8925186,153.3921096,12.21148757,57.5340708,416.9923598,198.7093463,151.3871587,73.02833129
E06000020,Telford and Wrekin,1.304272841,190.7418187,198.6968051,77.63657138,295.229164,237.6956409,77.10839477,0.856939594,120.6452378,26.72681412,411.1100332,390.1769931,47.49277799,479.2070883,13.70025439,459.5837106,0.673694649,189.6585177,139.7404389,16.91243047,65.36993921,358.7720433,215.3128099,159.8866037,67.3101798
E06000021,Stoke-on-Trent,2.771219569,188.4932461,203.0769826,77.44320161,278.399195,252.5873747,39.27313543,1.099198823,130.0383171,58.51685567,402.5699578,394.3491891,56.29910593,499.7329411,17.28528854,426.678794,1.017920037,175.5931416,149.324612,23.4856988,77.87281805,308.1859349,205.1979719,206.5023029,77.02519642
E06000022,Bath and North East Somerset,1.370153405,172.7168849,164.3667048,94.38547327,287.1634722,281.3674648,76.42353768,1.194360138,80.19792254,27.99249259,432.3997332,403.2439028,31.64795847,441.380701,8.970627013,518.0007135,0.589424484,221.6546283,131.8190984,9.404939791,46.28533315,514.8105828,160.8973729,102.3995781,57.52059108
E06000023,Bristol,1.195858309,203.3551763,175.1604355,59.03095262,221.8243083,340.6291273,52.04629347,3.477513631,97.90375563,43.64776999,417.7842121,407.0595855,38.16587084,442.2643842,11.46965695,508.1022046,1.236073013,203.4758204,128.9008263,15.90597379,56.09527922,503.9262251,150.5702022,119.9181313,50.42712249
E06000024,North Somerset,1.536445597,187.3817675,176.0822021,117.1851209,328.7070787,190.6438307,88.92005869,1.490306089,83.24028533,27.90517408,428.714461,395.1802671,41.05031975,471.5919053,11.63638377,475.6890935,0.876650641,224.9485544,146.1884153,11.83478365,52.84819179,428.4791496,201.6342614,122.800299,70.98563216
E06000025,South Gloucestershire,1.342864226,192.1742005,182.6915131,91.67975098,288.6435005,244.8110349,80.29639424,1.311875052,95.79786794,29.40528331,416.0468832,401.265047,32.81064926,460.7126133,9.289865851,497.1868716,0.499270033,219.3379335,133.0399691,8.4497149,45.32338925,429.2792607,199.5530672,116.3540203,72.11525218
E06000026,Plymouth,0.78203215,184.0609003,174.0531555,86.55244716,288.1694025,267.1640945,51.326999,1.567842234,104.3540679,39.72496647,424.5263416,401.4280587,49.52492491,478.1616578,14.74149493,457.5719224,1.065377132,196.8303141,146.9540414,19.07478419,68.86416442,406.1920323,196.8869831,143.1609966,79.70683239
E06000027,Torbay,1.069449628,163.2023198,160.0011484,128.9225116,359.4068502,188.46717,59.80304901,1.507277999,90.13522437,33.29648876,435.0865608,404.9051133,56.65929775,504.3998163,16.60159054,422.3392955,1.808733599,190.4696965,162.2548879,21.41770262,76.18931412,357.8349746,228.1875341,166.066148,87.91019494
E06000030,Swindon,1.358119369,214.0087657,198.1868892,71.43193766,284.0140353,232.3583721,72.59297977,2.853335961,104.4980742,44.59515618,406.2276414,395.5811851,35.06689916,474.7933902,9.382591223,480.7528351,0.762603305,202.4369031,138.7980858,13.56834082,55.13450523,354.7861926,233.9349902,138.9394673,74.14817639
E06000031,Peterborough,1.465181084,215.0987838,223.0228169,64.19904207,246.6558169,251.0235403,77.42740167,4.168347452,123.4832362,46.69569209,398.0053136,378.9765061,39.79172173,487.3489032,11.28096702,461.5784081,1.191618793,176.5728673,136.8460586,16.58993013,60.74937521,323.0956123,207.9861642,173.7398747,72.15553175
E06000032,Luton,2.259591054,214.2704939,233.3460593,54.20354964,223.4020829,274.7778143,62.20312347,8.479015546,136.232476,61.31526844,385.2314194,381.4225213,36.23336382,465.8042635,11.17365557,486.7842779,1.398371674,144.7647628,127.6868713,16.56737488,60.0190001,339.0629578,184.6427715,175.2537046,67.69450684
E06000033,Southend-on-Sea,3.359419103,203.009641,189.6992573,91.52895078,295.9609488,219.8012021,66.03721373,5.003154644,95.55803991,48.47636231,420.2207144,390.0800283,43.13007095,477.2644256,12.60750695,466.9979965,1.765493729,197.6412118,149.7515026,18.13643558,66.2973335,360.4208406,225.4961646,159.51983,64.86390755
E06000034,Thurrock,2.539758297,215.7487742,225.2089477,58.64171226,252.8167454,247.5838205,57.50535508,5.37496946,135.4821848,56.23831683,400.4920427,374.316055,33.54526395,448.9292674,9.857898535,507.6675701,0.988630746,172.1865217,131.7833421,14.20446475,57.97694331,328.8276771,215.2885495,167.2888222,63.3803217
E06000035,Medway,2.605683894,198.7218209,203.79379,71.91187141,284.2304297,241.342088,58.96566145,3.188299085,124.7904551,44.43959925,410.1110543,386.0737098,39.92879942,474.1200902,11.12687786,474.8313812,1.397561595,185.1786984,137.2898743,15.4625357,59.05859393,346.7453972,222.7663141,154.2607757,72.43729738
E06000036,Bracknell Forest,1.259961318,219.5382282,198.0145578,66.77794987,280.1528004,235.5164638,81.38387089,2.897108509,96.45525532,38.71371592,410.4665067,391.5189355,25.25540299,439.686374,6.789345703,528.292953,0.633993275,227.3307278,125.5226432,8.578972289,41.18548717,428.9646649,204.7236512,105.7966246,62.50050158
E06000037,West Berkshire,1.38124969,199.1353253,190.2284327,89.55824786,318.1767504,202.9012437,90.47495169,1.85818344,86.69045141,31.81210049,413.2476091,396.5239582,26.75164759,456.0663495,6.726624052,510.4615728,0.526485308,231.1642139,130.4320896,8.454734651,42.29844904,436.2023686,197.828403,114.4888757,61.25192012
