LA_code,No&one_dimension_deprivation,Two_dimension_deprivation,Three_dimension_deprivation,Four_dimension_deprivation
E06000001,30997,7570,2278,85
E06000002,45801,10816,3517,128
E06000003,48256,10307,2969,106
E06000004,67684,12617,3324,132
E06000005,40159,6944,1738,76
E06000047,183619,39903,10931,308
E06000057,121185,20510,5035,191
E08000021,96937,19418,6149,293
E08000022,78841,13730,3546,119
E08000023,52888,11971,3323,105
E08000024,93100,22163,6645,269
E08000037,69610,14850,4376,163
E06000006,42915,9843,3088,103
E06000007,76033,11560,2824,121
E06000008,44169,10718,3692,188
E06000009,47519,12785,4183,302
E06000049,151025,19584,4086,161
E06000050,130591,19598,4721,246
E06000063,102605,17883,4775,163
E06000064,88182,12511,2722,114
E07000117,29974,7316,2440,142
E07000118,42665,6015,1406,46
E07000119,31862,4648,1030,64
E07000120,26613,6092,1985,100
E07000121,49340,8383,2132,124
E07000122,29513,6450,1999,104
E07000123,47817,8931,2700,159
E07000124,23829,2455,436,27
E07000125,24737,4496,1270,58
E07000126,41504,5871,1158,55
E07000127,40081,6818,1567,67
E07000128,41073,7793,1813,88
E08000001,91829,20373,6244,343
E08000002,65387,11875,3263,170
E08000003,164057,36937,12983,752
E08000004,70405,16920,5520,292
E08000005,69205,15621,5084,313
E08000006,90627,18229,5963,297
E08000007,105646,16441,4294,267
E08000008,77017,17056,5142,312
E08000009,81584,11666,2883,136
E08000010,113569,22904,6380,252
E08000011,48326,12688,4856,203
E08000012,154025,38407,14386,673
E08000013,62863,13852,4161,137
E08000014,97518,19817,5463,275
E08000015,113384,22925,6645,298
E06000010,86931,21788,6452,301
E06000011,129437,18920,3542,167
E06000012,54851,11618,3222,135
E06000013,59368,11151,2565,89
E06000014,73935,9518,1918,88
E06000065,236764,31146,6141,330
E08000016,82920,19079,5815,239
E08000017,104719,22336,6171,253
E08000018,88319,19862,5520,224
E08000019,184101,36628,10582,639
E08000032,162368,35313,11416,770
E08000033,73148,13398,3731,199
E08000034,142588,27052,7881,469
E08000035,277296,49084,14124,962
E08000036,120282,25294,7240,260
E06000015,83843,16606,4907,296
E06000016,95031,24094,7624,639
E06000017,14959,1529,198,8
E06000018,94827,22536,7016,366
E06000061,123394,20356,4918,248
E06000062,146772,20930,4659,280
E07000032,46413,7864,1926,75
E07000033,27225,6318,1672,46
E07000034,37925,7884,2148,101
E07000035,27853,3770,625,36
E07000036,41233,7164,1858,79
E07000037,34578,5024,1123,47
E07000038,37385,6916,1620,66
E07000039,38849,5298,1057,35
E07000129,36823,4903,823,26
E07000130,62954,8869,1885,77
E07000131,35862,3898,625,28
E07000132,42078,6114,1200,53
E07000133,19616,2517,439,25
E07000134,38088,5672,1161,52
E07000135,18938,3091,549,37
E07000136,23365,4775,1181,83
E07000137,49663,11962,2954,175
E07000138,33841,6678,1865,122
E07000139,43809,6082,1062,36
E07000140,33132,6323,1193,55
E07000141,53671,7674,1445,60
E07000142,35314,5705,1273,54
E07000170,42239,9613,2532,123
E07000171,41748,7728,1912,73
E07000172,40528,6398,1384,51
E07000173,43125,6905,1462,59
E07000174,37052,8443,2430,105
E07000175,44041,7447,1743,98
E07000176,44355,4752,754,21
E06000019,69631,10761,2284,149
E06000020,61118,12129,3138,125
E06000021,83949,20120,6068,263
E06000051,118380,17359,3697,143
E07000192,34503,7105,1784,65
E07000193,42726,6879,1594,94
E07000194,38699,5762,1109,60
E07000195,43206,8190,1947,80
E07000196,38708,6174,1204,35
E07000197,51454,7075,1440,79
E07000198,35361,5822,1149,23
E07000199,26413,5225,1216,40
E07000218,22666,3992,887,35
E07000219,45072,9027,2337,150
E07000220,40635,5231,1106,44
E07000221,52504,5822,1108,30
E07000222,54871,6230,1406,111
E07000234,35806,4557,868,33
E07000235,30022,4108,731,33
E07000236,29568,5375,1338,97
E07000237,37194,5865,1553,108
E07000238,48976,6922,1375,83
E07000239,36558,6928,1730,106
E08000025,317882,78859,25045,1670
E08000026,106019,21411,6219,491
E08000027,107882,23098,5837,256
E08000028,95444,26244,8161,395
E08000029,74294,12109,2915,165
E08000030,84418,21212,6280,316
E08000031,79467,19711,5649,314
E06000031,67596,13102,3578,257
E06000032,61373,13520,3732,315
E06000033,62769,11979,3277,319
E06000034,53499,10204,2500,174
E06000055,63201,9293,2224,232
E06000056,105076,12938,2607,133
E07000008,45515,5485,1390,82
E07000009,32253,4128,790,30
E07000010,34841,7442,1702,99
E07000011,66524,8576,1699,82
E07000012,59828,6077,1055,36
E07000066,61479,11652,3011,221
E07000067,54678,8442,1768,96
E07000068,28107,3465,716,54
E07000069,30149,5898,1265,77
E07000070,65449,8170,1694,90
E07000071,67441,9832,2292,145
E07000072,45987,6906,1560,104
