LA_code,1km_to_less5km,5km_to_less20km,20k_to_less40k,40km_above,Work_off_office
E07000223,6709,6477,1272,566,14799
E07000032,13314,18603,3285,1249,23719
E07000224,16758,19121,4061,2481,30770
E07000170,16448,17274,3239,1279,20191
E07000105,16314,8945,5749,3062,29545
E07000200,7228,9517,4182,1570,20460
E09000002,18432,28002,5733,1626,40796
E09000003,28177,45632,3089,1781,107497
E08000016,27514,34301,7099,2005,40762
E07000066,18904,16908,7134,3006,43060
E07000084,21930,15083,6230,3608,50122
E07000171,14256,13652,6372,2007,18631
E06000022,21288,17739,2865,1754,46166
E06000055,24426,15163,6864,3507,40904
E09000004,21205,29158,5502,1426,60693
E08000025,117384,121068,16090,10676,177200
E07000129,10162,14170,2481,1304,23329
E06000008,24070,13978,3429,1026,21055
E06000009,24655,9251,2244,1325,21887
E07000033,7917,13173,3251,1174,12585
E08000001,35420,31936,6701,1699,49681
E07000136,10762,8417,3980,1554,8918
E06000058,56639,36796,4004,4671,83922
E06000036,12166,13216,3783,1366,35870
E08000032,67287,55712,7213,3533,87394
E07000067,12631,16112,7783,4264,35494
E07000143,12786,14411,9876,3061,25504
E09000005,37085,40435,2680,2044,78750
E07000068,4475,6717,4030,561,22119
E06000043,39325,14441,4099,3715,77713
E06000023,73333,36711,3341,4291,120834
E07000144,11160,17507,3433,1288,29201
E09000006,22992,35440,5510,1336,96844
E07000234,6831,13673,3070,882,22831
E07000095,8570,11988,3946,580,23222
E07000172,11654,13779,1627,1072,23784
E06000060,43353,46696,23826,9844,149517
E07000117,14783,9784,2198,683,12588
E08000002,21660,23921,2879,1317,38706
E08000033,25018,22209,4380,1395,40379
E07000008,23452,5428,1699,2477,37542
E09000007,21102,12278,754,840,67539
E07000192,11539,13664,4308,991,18375
E07000106,14662,13038,4892,3268,30302
E07000069,7316,8610,2823,2027,20230
E06000056,23146,31834,13589,7000,75508
E07000130,18878,23252,4040,2154,36476
E07000070,18814,13584,6332,3764,47367
E07000078,19006,7196,2293,1704,28957
E07000177,21426,14349,8049,3053,38095
E06000049,41125,41293,14736,5023,90310
E06000050,36662,38894,15398,4562,73572
E07000034,15373,11037,2277,1104,17742
E07000225,11339,10439,3819,2381,28386
E07000118,12264,15421,3961,997,24599
E09000001,1061,323,22,37,3905
E07000071,24509,14009,6773,4287,42437
E06000052,56146,55797,19223,14620,108459
E07000079,6614,7613,4554,1726,23575
E06000047,43876,64337,23599,5458,84946
E08000026,46315,33643,9365,3687,57132
E07000226,17384,11216,2981,2003,25314
E09000008,33804,47970,5645,1972,100016
E06000063,37163,28876,10545,5456,45717
E07000096,14114,13607,5960,1511,42006
E06000005,17113,8053,4352,1587,18192
E07000107,11959,11568,6200,908,28188
E06000015,41168,24817,5602,2851,41764
E07000035,5452,7156,3400,928,16291
E08000017,35031,40170,10287,4149,48222
E06000059,33815,35120,14973,8497,75372
E07000108,10471,12503,4469,1952,21531
E08000027,42711,40928,4599,2285,54117
E09000009,35105,43886,3327,1905,90800
E07000009,5573,10306,5783,1261,21772
E07000040,12596,16667,4839,2060,30565
E07000085,8006,12741,5956,2299,32732
E07000242,11313,14824,6473,2016,41901
E07000137,12602,12038,7117,3156,20665
E06000011,30963,39650,16311,8043,61154
E07000193,17849,13588,5162,1778,20941
E07000244,25427,22120,7758,6231,44830
E07000061,17442,4594,2908,1255,17632
E07000086,12575,17835,2391,1564,35151
E07000207,9540,10595,3350,500,42996
E09000010,30198,37302,4117,1675,70572
E07000072,7535,15861,5013,763,36624
E07000208,7395,7266,1721,322,23205
E07000036,12712,17980,1899,980,21396
E07000041,24153,5664,1951,1874,26058
E07000087,11550,13635,1710,1370,27366
E07000010,11360,9907,6444,2010,17384
E07000112,10744,8919,3686,2315,22150
E07000080,6157,9672,4697,1212,18250
E07000119,7821,9059,1639,1050,16147
E08000037,24218,24665,2183,1531,34922
E07000173,12882,14346,2340,997,25621
E07000081,22463,13913,1753,2090,25400
E07000088,12283,8431,1357,1049,15364
E07000109,9648,11367,4935,1219,22593
E07000145,13179,7246,4336,2147,14231
E09000011,22872,37038,3225,1782,78017
E07000209,13452,11304,3640,1850,39528
E09000012,30049,20742,1162,1094,81264
E06000006,16583,15322,3549,934,22318
E09000013,20162,15634,783,724,60790
E07000131,6769,12159,4566,1591,23686
E09000014,20806,33301,2123,1348,76803
E07000073,14582,8069,4615,660,18057
E09000015,21758,30100,4575,1803,66801
E07000089,6879,10608,2633,1640,28685
E06000001,13177,8782,2354,1074,12362
E07000062,14482,4194,2227,1315,18681
E07000090,13189,14285,2208,1498,25188
E09000016,21626,25473,11486,1497,64702
E06000019,23129,17702,7132,3720,36828
E07000098,8213,12055,2966,577,28951
E07000037,10478,10247,3570,1072,19247
E09000017,29001,35911,7753,1870,68270
E07000132,10763,15527,3761,1348,24487
E07000227,10371,14060,5909,2235,39589
E09000018,30775,35388,3847,1726,67064
E07000011,16264,17930,9276,3819,44102
E07000120,10830,10275,2010,661,11851
E07000202,23760,10958,3366,1928,27014
E06000046,15517,17228,1025,1261,22879
E06000053,343,9,0,229,533
E09000019,24292,14030,988,799,74862
E09000020,14191,7750,397,590,46514
E07000146,16414,15507,6754,4243,26305
E06000010,50562,27823,4312,3371,31721
E09000021,16611,15619,1978,751,49189
E08000034,51953,49753,8668,2895,76817
E08000011,17402,22887,1809,1266,26130
E09000022,31054,36321,1840,1511,112093
E07000121,19553,11310,4879,2031,24628
E08000035,90986,90186,12215,6901,173776
E06000016,65663,28358,8841,4217,47855
E07000063,7087,10826,2282,1243,23067
E09000023,25325,37138,2019,1399,89831
E07000194,7776,13640,4697,1217,23140
E07000138,17973,6476,3990,2116,16163
E08000012,62986,50831,5078,4765,82093
E06000032,29535,17246,7714,4677,39549
E07000110,17754,16792,6043,3698,42122
E07000074,4282,6867,2775,1595,15738
E07000235,6425,7663,2804,1199,17709
E08000003,67394,52877,4969,5372,103675
E07000174,15725,14506,3280,1171,16685
E06000035,30130,25748,9526,6991,60211
E07000133,5691,4866,3115,894,10899
E09000024,19972,24522,1756,984,64831
E07000042,7140,9254,4033,1495,18360
E07000203,6458,11921,5881,2015,23749
E07000228,14106,14296,4174,2729,41267
E06000002,20988,12857,2260,1745,18584
E06000042,35124,28199,5963,5258,68835
E07000210,5784,8007,2558,494,25498
E07000091,15409,18312,5935,2136,36910
E07000175,13200,12423,6384,1884,23223
E08000021,37919,27731,3026,3282,53120
E07000195,17226,14452,2426,1769,20809
E09000025,31675,46099,4345,2513,78815
E07000043,12987,10188,1909,1638,18443
E07000038,8284,15412,2947,1233,18687
E06000012,29095,13891,3217,1975,20671
E07000099,11757,10582,5168,2785,36869
E07000139,9696,14396,6259,2797,23744
E06000013,24205,18353,7024,2667,23974
E07000147,7305,9294,5218,1587,18255
E06000061,45789,44727,15337,5870,67132
E06000024,21966,22142,8738,1998,47858
E08000022,24821,26525,1622,1806,42490
E07000218,5405,9583,2963,674,13129
E07000134,9909,13785,4784,1508,21972
E06000065,67000,56145,28677,12519,129194
E06000057,25562,35577,13019,7111,59508
E07000148,24339,8280,3236,1705,28160
E06000018,44409,25298,4946,3478,50736
E07000219,17547,16837,5021,1328,22382
E07000135,6770,6594,1094,742,10789
E08000004,30813,25132,3486,1811,36966
E07000178,27136,7406,1843,1938,35005
E07000122,12669,9707,2583,893,13771
E06000031,33294,17758,7164,4053,38700
E06000026,44953,25384,2040,4457,44187
