LA_code,Female,Male
E06000001,39064,35623
E06000002,58404,55536
E06000003,58620,53721
E06000004,81166,76844
E06000005,45473,42634
E06000006,53596,50354
E06000007,87933,84783
E06000008,60594,58914
E06000009,59369,56971
E06000010,107774,106103
E06000011,148351,139791
E06000012,65814,61710
E06000013,71061,68406
E06000014,90243,81836
E06000015,106310,102880
E06000016,148940,142077
E06000017,16799,17498
E06000018,135773,128549
E06000019,80859,76278
E06000020,76279,72395
E06000021,104012,101888
E06000022,83630,77991
E06000023,197388,192321
E06000024,92917,85649
E06000025,120830,116537
E06000026,112370,106256
E06000027,60618,56413
E06000030,94818,92333
E06000031,85839,81735
E06000032,86778,85920
E06000033,75928,70482
E06000034,70487,65880
E06000035,114738,108013
E06000036,51147,48786
E06000037,66718,64018
E06000038,71308,70050
E06000039,60534,58401
E06000040,63747,59928
E06000041,72535,68285
E06000042,115233,109597
E06000043,121092,114276
E06000044,86646,84174
E06000045,102255,102114
E06000046,62279,57307
E06000047,223868,210090
E06000049,169671,159805
E06000050,152809,142551
E06000051,138958,133289
E06000052,248442,228983
E06000053,897,833
E06000054,214007,205109
E06000055,76040,72081
E06000056,121105,115655
E06000057,138955,129888
E06000058,173010,161899
E06000059,166942,154957
E06000060,229104,214291
E06000061,148131,141055
E06000062,174677,168826
E06000063,116650,111215
E06000064,98116,94055
E06000065,265327,250853
E06000066,244913,230027
E07000008,62556,62206
E07000009,36692,34734
E07000010,43676,41157
E07000011,75343,72915
E07000012,67018,63349
E07000032,53841,51223
E07000033,33830,32449
E07000034,44007,41997
E07000035,31378,29679
E07000036,48143,45384
E07000037,38733,36924
E07000038,43978,41295
E07000039,44773,42184
E07000040,66798,60588
E07000041,57616,53714
E07000042,35342,32865
E07000043,42504,39689
E07000044,39237,35728
E07000045,59146,54313
E07000046,29715,27844
E07000047,24824,23538
E07000061,44866,39712
E07000062,38936,35767
E07000063,43789,39433
E07000064,42272,37213
E07000065,70066,63582
E07000066,77539,71124
E07000067,65223,61349
E07000068,32747,30121
E07000069,38802,35610
E07000070,76085,71654
E07000071,80696,75646
E07000072,57206,52729
E07000073,38081,35020
E07000074,28566,26862
E07000075,36827,33883
E07000076,65345,59545
E07000077,38018,35502
E07000078,50614,47823
E07000079,39885,36430
E07000080,37529,35518
E07000081,54519,52421
E07000082,51713,48480
E07000083,40327,37026
E07000084,76325,73483
E07000085,54024,49802
E07000086,56947,53384
E07000087,49440,46200
E07000088,34815,32399
E07000089,40945,39383
E07000090,53827,49039
E07000091,78073,70671
E07000092,40752,40116
E07000093,54897,51853
E07000094,54443,50305
E07000095,41470,37970
E07000096,63666,60115
E07000098,45417,40774
E07000099,56023,51722
E07000102,38892,36112
E07000103,41499,39466
E07000105,55423,51348
E07000106,70012,62767
E07000107,46927,43769
E07000108,49750,46382
E07000109,43659,40895
E07000110,72573,69564
E07000111,50611,45993
E07000112,47314,44244
E07000113,61905,60096
E07000114,60855,54563
E07000115,54931,50596
E07000116,48189,44212
E07000117,38395,36804
E07000118,48645,47724
E07000119,35542,33707
E07000120,33560,32073
E07000121,61566,58073
E07000122,38367,36857
E07000123,59865,58802
E07000124,26436,25029
E07000125,29506,27794
E07000126,47224,44278
E07000127,51721,46612
E07000128,48984,45367
E07000129,43179,40486
E07000130,76922,76180
E07000131,41000,39428
E07000132,48060,45859
E07000133,22167,20778
E07000134,44061,42104
E07000135,24601,22609
E07000136,29530,28055
E07000137,62508,58910
E07000138,44371,42697
E07000139,50256,47757
E07000140,40551,38446
E07000141,61415,56594
E07000142,40706,38410
E07000143,59919,57931
E07000144,57183,53323
E07000145,42597,40121
E07000146,66513,62376
E07000147,46071,43074
E07000148,61541,59222
E07000149,60651,56569
E07000170,53065,49781
E07000171,49407,47957
E07000172,47614,44929
E07000173,50278,46179
E07000174,46099,44071
E07000175,52104,49861
E07000176,50396,47327
E07000177,66391,64196
E07000178,70242,66476
E07000179,62131,59359
E07000180,57284,55145
E07000181,48157,45653
E07000192,42127,40351
E07000193,50540,49967
E07000194,45198,43398
E07000195,53046,50138
E07000196,46729,46645
E07000197,57838,55773
E07000198,41284,39571
E07000199,32767,31025
E07000200,40203,37178
E07000202,56661,55169
E07000203,44095,42211
E07000207,57085,51690
E07000208,33823,30783
E07000209,61070,58289
E07000210,37450,34891
E07000211,61925,58203
E07000212,37960,34758
E07000213,42805,40555
E07000214,37900,35887
E07000215,37078,33749
E07000216,54127,49506
E07000217,42219,40764
E07000218,27558,26341
E07000219,55790,52795
E07000220,46553,45635
E07000221,58489,54148
E07000222,62304,60945
E07000223,27735,25216
E07000224,73136,66418
E07000225,55047,49660
E07000226,47521,46047
E07000227,62494,58167
E07000228,64145,59171
E07000229,48273,44084
E07000234,41950,39151
E07000235,34775,32345
E07000236,35936,34319
E07000237,44058,41549
E07000238,56904,53816
E07000239,43589,40976
E07000240,60184,55907
E07000241,50016,47464
E07000242,62558,58595
E07000243,36531,34706
E07000244,106891,99826
E07000245,74425,73706
E08000001,119040,113249
E08000002,79868,75005
E08000003,221809,216152
E08000004,96682,90354
E08000005,90413,84534
E08000006,108617,108305
E08000007,124166,114760
E08000008,95459,89677
E08000009,96779,89373
E08000010,136939,131756
E08000011,66023,58278
E08000012,208885,194141
E08000013,77413,73157
E08000014,121210,111181
E08000015,136975,125136
E08000016,102462,97329
E08000017,127447,123478
E08000018,110921,104651
E08000019,233411,222839
E08000021,126688,121763
E08000022,89586,81928
E08000023,63200,58090
E08000024,117644,108424
E08000025,459642,429980
E08000026,139882,136990
E08000027,134761,127727
E08000028,136783,129249
E08000029,91118,83383
E08000030,115557,107545
E08000031,107330,101113
E08000032,217432,204143
E08000033,86345,80288
E08000034,178488,167787
E08000035,340795,317676
E08000036,147583,139955
E08000037,83023,78725
E09000001,3578,4425
E09000002,84443,77301
E09000003,162059,147293
E09000004,103127,92702
E09000005,141508,133634
E09000006,140236,124852
E09000007,94743,83166
E09000008,163588,146806
E09000009,151195,144176
E09000010,136779,120406
E09000011,119363,110386
E09000012,110780,98688
E09000013,83020,71606
E09000014,113312,102685
E09000015,107331,102291
E09000016,110132,99598
E09000017,123575,118305
E09000018,116116,112573
E09000019,97070,86555
E09000020,66365,56724
E09000021,70937,64528
E09000022,139871,129073
E09000023,129183,113225
E09000024,89960,82813
E09000025,138610,137567
E09000026,123541,118481
E09000027,82033,73796
E09000028,133365,122769
E09000029,86899,78759
E09000030,126308,126575
E09000031,114413,107771
E09000032,145895,127663
E09000033,92254,85213
