LA_code,Verybad_health,Bad_health,Good_health,Verygood_health
E06000001,1732,5625,45164,39817
E06000002,2545,7969,66203,67207
E06000003,2481,7916,68049,58085
E06000004,2896,9392,92828,91479
E06000005,1328,5016,52707,48749
E06000047,9004,30167,258604,224293
E06000057,4300,15644,160334,140289
E08000021,4461,14525,135921,145219
E08000022,2806,10188,99801,96170
E08000023,2614,8709,71799,64656
E08000024,5086,16834,133993,118258
E08000037,3326,11120,95894,85811
E06000006,2380,7491,59543,59066
E06000007,2359,8265,94737,105613
E06000008,2445,7826,70517,73950
E06000009,3108,9777,71218,56933
E06000049,4243,14513,181258,198755
E06000050,4199,14499,164103,174349
E06000063,3716,13041,133389,123108
E06000064,2535,9330,109731,104996
E07000117,1546,5073,45378,42648
E07000118,1358,4735,54307,57332
E07000119,1070,3641,39236,37427
E07000120,1367,4387,40359,36121
E07000121,1790,6214,68476,66454
E07000122,1285,4286,45437,44752
E07000123,1862,6379,68009,71585
E07000124,465,1855,26881,32360
E07000125,904,3430,33229,33310
E07000126,1187,4318,52358,53172
E07000127,1534,5114,54322,56460
E07000128,1844,5902,54577,49623
E08000001,4229,13968,135690,142076
E08000002,2359,8416,89619,93456
E08000003,8063,24915,238413,280547
E08000004,3472,11724,113302,113590
E08000005,3136,11214,104466,104957
E08000006,3681,12406,119389,134447
E08000007,3582,12017,133572,145602
E08000008,3447,11821,111099,104704
E08000009,2522,8406,99318,124806
E08000010,4466,16085,156407,152373
E08000011,3273,10037,68130,73079
E08000012,9707,29077,215474,231830
E08000013,3171,10591,86736,82747
E08000014,4610,14953,130221,129449
E08000015,5426,17840,148088,148845
E06000010,4238,13999,133001,115776
E06000011,4302,14088,170278,153547
E06000012,2293,7911,79176,67586
E06000013,2235,8003,86656,72786
E06000014,1786,6788,95637,98610
E06000065,6276,22395,293748,293072
E08000016,4117,14252,120193,106010
E08000017,4945,16192,150427,136540
E08000018,4321,14400,129727,117359
E08000019,7570,25998,263300,259654
E08000032,7580,24904,261788,252136
E08000033,2695,9057,98570,96309
E08000034,5378,18669,207465,201705
E08000035,9116,31621,369160,402056
E08000036,5238,17900,172248,157984
E06000015,3605,11542,126408,119809
E06000016,4522,14749,169581,179719
E06000017,282,1169,18932,20666
E06000018,4734,14787,150155,153956
E06000061,3831,13718,175928,166047
E06000062,3669,13891,198708,209457
E07000032,1492,5613,63031,56072
E07000033,1434,4844,40449,33546
E07000034,1629,5874,53097,42969
E07000035,738,2534,34263,34005
E07000036,1362,5020,56471,50053
E07000037,1007,3535,43090,43301
E07000038,1449,5166,51005,44381
E07000039,1088,3853,50598,51669
E07000129,993,3328,48132,50473
E07000130,1704,6051,85961,90255
E07000131,762,2850,43733,50282
E07000132,1202,4164,55361,52913
E07000133,439,1622,24943,24748
E07000134,1116,3916,50494,49180
E07000135,604,2170,28405,26568
E07000136,896,3193,36666,29747
E07000137,2651,8969,76742,53934
E07000138,1203,4461,52657,45492
E07000139,1220,4509,57697,54648
E07000140,1134,4268,50334,39386
E07000141,1381,5456,70594,65973
E07000142,1104,4227,48129,41693
E07000170,2009,6947,63788,53556
E07000171,1707,5618,58800,51679
E07000172,1264,4462,53883,51331
E07000173,1414,4840,57033,53976
E07000174,1804,6249,55306,47123
E07000175,1571,5553,60878,54954
E07000176,978,3629,51235,63235
E06000019,2177,7641,91695,85521
E06000020,2542,8812,88914,85273
E06000021,4466,14546,129116,110241
E06000051,3649,12796,156262,150899
E07000192,1485,4955,50521,43559
E07000193,1357,4637,60308,57717
E07000194,1151,4162,50980,50143
E07000195,1741,5972,61398,54189
E07000196,1327,4538,54889,49718
E07000197,1503,5203,66129,64032
E07000198,1262,4144,47636,42805
E07000199,1060,3434,38355,35798
E07000218,830,2864,31753,29587
E07000219,1807,6075,66857,59458
E07000220,1004,3887,53628,55844
E07000221,1203,4275,62370,66877
E07000222,1227,4393,65501,77332
E07000234,1046,3329,44555,50253
E07000235,888,3096,38576,36926
E07000236,964,3547,42047,40480
E07000237,1098,3882,49672,49220
E07000238,1284,4829,63543,62836
E07000239,1424,4818,51361,44004
E08000025,16870,51755,531794,544500
E08000026,4369,14126,159179,167651
E08000027,4337,15299,162006,141846
E08000028,5214,17472,165810,153337
E08000029,2432,8293,99007,106508
E08000030,4484,14222,139248,126170
E08000031,3784,12953,128746,118244
E06000031,2433,8582,105108,99550
E06000032,2517,8162,104928,109654
E06000033,2278,7793,86235,84380
E06000034,1735,5904,79012,89350
E06000055,1735,6357,86714,90419
E06000056,2407,8817,134818,148210
